Player,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,MISC FL,MISC FPTS,POS,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,Player Chase McLaughlin TB,FG 2.1,FGA 2.0,XPT 2.9,FPTS 9.1,Player Denver Broncos,SACK 3.1,INT 0.8,FR 0.6,FF 1.0,TD 0.2,SAFETY 0.1,PA 17.2,YDS AGN 291.9,FPTS 8.3
Tucker Kraft GB,,,,,,,,,0.0,5.6,TE,3.3,39.0,0.3,,,,,,,,,,,,,,,
Zach Ertz WAS,,,,,,,,,0.0,5.4,TE,3.8,34.8,0.3,,,,,,,,,,,,,,,
Kyle Pitts Sr. ATL,,,,,,,,,0.0,5.4,TE,3.2,40.8,0.2,,,,,,,,,,,,,,,
Evan Engram DEN,,,,,,,,,0.1,5.3,TE,4.4,37.9,0.3,,,,,,,,,,,,,,,
Hunter Henry NE,,,,,,,,,0.0,5.0,TE,3.3,34.5,0.3,,,,,,,,,,,,,,,
Jake Ferguson DAL,,,,,,,,,0.1,4.8,TE,4.2,37.7,0.2,,,,,,,,,,,,,,,
Dalton Kincaid BUF,,,,,,,,,0.0,4.8,TE,3.5,36.3,0.2,,,,,,,,,,,,,,,
Cade Otton TB,,,,,,,,,0.1,4.7,TE,3.5,33.9,0.2,,,,,,,,,,,,,,,
Brenton Strange JAC,,,,,,,,,0.0,4.6,TE,3.1,33.4,0.2,,,,,,,,,,,,,,,
Dalton Schultz HOU,,,,,,,,,0.0,4.4,TE,3.3,34.0,0.2,,,,,,,,,,,,,,,
Mike Gesicki CIN,,,,,,,,,0.0,4.4,TE,2.9,30.5,0.2,,,,,,,,,,,,,,,
Chig Okonkwo TEN,,,,,,,,,0.0,4.4,TE,3.5,34.3,0.2,,,,,,,,,,,,,,,
Jonnu Smith PIT,,,,,,,,,0.0,4.2,TE,2.9,29.7,0.2,,,,,,,,,,,,,,,
Theo Johnson NYG,,,,,,,,,0.0,4.1,TE,2.8,30.8,0.2,,,,,,,,,,,,,,,
Colston Loveland CHI,,,,,,,,,0.1,4.1,TE,3.0,31.2,0.2,,,,,,,,,,,,,,,
Pat Freiermuth PIT,,,,,,,,,0.1,4.0,TE,3.0,28.4,0.2,,,,,,,,,,,,,,,
Mason Taylor NYJ,,,,,,,,,0.0,3.9,TE,2.8,29.8,0.2,,,,,,,,,,,,,,,
Juwan Johnson NO,,,,,,,,,0.0,3.8,TE,2.7,29.0,0.2,,,,,,,,,,,,,,,
Ja'Tavion Sanders CAR,,,,,,,,,0.0,3.8,TE,2.8,29.0,0.2,,,,,,,,,,,,,,,
Robbie Ouzts SEA,,,,,,,,,0.1,3.7,TE,2.9,27.1,0.2,,,,,,,,,,,,,,,
Tyler Higbee LAR,,,,,,,,,0.0,3.6,TE,2.7,24.9,0.2,,,,,,,,,,,,,,,
Will Dissly LAC,,,,,,,,,0.0,3.3,TE,2.5,25.0,0.1,,,,,,,,,,,,,,,
Tyler Conklin LAC,,,,,,,,,0.0,3.1,TE,2.4,23.3,0.1,,,,,,,,,,,,,,,
Noah Gray KC,,,,,,,,,0.0,3.0,TE,2.1,20.7,0.2,,,,,,,,,,,,,,,
AJ Barner SEA,,,,,,,,,0.0,2.8,TE,2.1,19.6,0.1,,,,,,,,,,,,,,,
Julian Hill MIA,,,,,,,,,0.0,2.7,TE,2.1,20.2,0.1,,,,,,,,,,,,,,,
Elijah Arroyo SEA,,,,,,,,,0.0,2.6,TE,2.0,19.4,0.1,,,,,,,,,,,,,,,
Cole Kmet CHI,,,,,,,,,0.0,2.5,TE,1.7,17.5,0.1,,,,,,,,,,,,,,,
Harold Fannin Jr. CLE,,,,,,,,,0.0,2.5,TE,1.8,18.2,0.1,,,,,,,,,,,,,,,
Noah Fant CIN,,,,,,,,,0.0,2.4,TE,1.7,17.6,0.1,,,,,,,,,,,,,,,
Austin Hooper NE,,,,,,,,,0.0,2.4,TE,1.8,17.8,0.1,,,,,,,,,,,,,,,
Tanner Conner MIA,,,,,,,,,0.0,2.1,TE,1.5,14.8,0.1,,,,,,,,,,,,,,,
Payne Durham TB,,,,,,,,,0.0,1.9,TE,1.3,12.8,0.1,,,,,,,,,,,,,,,
Michael Mayer LV,,,,,,,,,0.0,1.9,TE,1.6,14.9,0.1,,,,,,,,,,,,,,,
Charlie Kolar BAL,,,,,,,,,0.0,1.9,TE,1.1,13.4,0.1,,,,,,,,,,,,,,,
Dawson Knox BUF,,,,,,,,,0.0,1.9,TE,1.1,12.7,0.1,,,,,,,,,,,,,,,
Gunnar Helm TEN,,,,,,,,,0.0,1.8,TE,1.3,13.2,0.1,,,,,,,,,,,,,,,
Tommy Tremble CAR,,,,,,,,,0.0,1.8,TE,1.2,11.9,0.1,,,,,,,,,,,,,,,
Josh Oliver MIN,,,,,,,,,0.0,1.8,TE,1.1,11.9,0.1,,,,,,,,,,,,,,,
Luke Musgrave GB,,,,,,,,,0.0,1.6,TE,1.2,11.4,0.1,,,,,,,,,,,,,,,
Adam Trautman DEN,,,,,,,,,0.0,1.5,TE,0.8,9.7,0.1,,,,,,,,,,,,,,,
Cade Stover HOU,,,,,,,,,0.0,1.4,TE,1.0,10.2,0.1,,,,,,,,,,,,,,,
Grant Calcaterra PHI,,,,,,,,,0.0,1.2,TE,0.8,9.0,0.1,,,,,,,,,,,,,,,
Jeremy Ruckert NYJ,,,,,,,,,0.0,1.2,TE,1.0,8.7,0.1,,,,,,,,,,,,,,,
Johnny Mundt JAC,,,,,,,,,0.0,1.2,TE,0.8,7.6,0.1,,,,,,,,,,,,,,,
Drew Ogletree IND,,,,,,,,,0.0,1.1,TE,0.5,6.8,0.1,,,,,,,,,,,,,,,
Luke Schoonmaker DAL,,,,,,,,,0.0,1.1,TE,0.9,7.6,0.1,,,,,,,,,,,,,,,
Brock Wright DET,,,,,,,,,0.0,1.1,TE,0.9,7.2,0.1,,,,,,,,,,,,,,,
Terrance Ferguson LAR,,,,,,,,,0.0,1.1,TE,0.6,7.5,0.1,,,,,,,,,,,,,,,
Daniel Bellinger NYG,,,,,,,,,0.0,1.1,TE,0.8,8.1,0.0,,,,,,,,,,,,,,,
Blake Whiteheart CLE,,,,,,,,,0.0,1.0,TE,0.6,6.4,0.1,,,,,,,,,,,,,,,
Elijah Higgins ARI,,,,,,,,,0.0,1.0,TE,0.6,6.2,0.1,,,,,,,,,,,,,,,
Ben Sinnott WAS,,,,,,,,,0.0,1.0,TE,0.7,6.3,0.1,,,,,,,,,,,,,,,
Eric Saubert SEA,,,,,,,,,0.0,1.0,TE,0.6,5.7,0.1,,,,,,,,,,,,,,,
Connor Heyward PIT,,,,,,,,,0.0,0.9,TE,0.8,6.1,0.1,,,,,,,,,,,,,,,
Colby Parkinson LAR,,,,,,,,,0.0,0.9,TE,0.6,6.0,0.1,,,,,,,,,,,,,,,
Darnell Washington PIT,,,,,,,,,0.0,0.9,TE,0.7,6.7,0.0,,,,,,,,,,,,,,,
Moliki Matavao NO,,,,,,,,,0.0,0.9,TE,0.8,7.3,0.0,,,,,,,,,,,,,,,
Drew Sample CIN,,,,,,,,,0.0,0.8,TE,0.6,5.2,0.1,,,,,,,,,,,,,,,
Charlie Woerner ATL,,,,,,,,,0.0,0.8,TE,0.7,6.5,0.0,,,,,,,,,,,,,,,
Lucas Krull DEN,,,,,,,,,0.0,0.8,TE,0.5,4.3,0.1,,,,,,,,,,,,,,,
Hunter Long JAC,,,,,,,,,0.0,0.8,TE,0.6,5.8,0.0,,,,,,,,,,,,,,,
Jackson Hawes BUF,,,,,,,,,0.0,0.6,TE,0.4,3.6,0.0,,,,,,,,,,,,,,,
John Bates WAS,,,,,,,,,0.0,0.6,TE,0.5,4.3,0.0,,,,,,,,,,,,,,,
Tip Reiman ARI,,,,,,,,,0.0,0.6,TE,0.5,5.0,0.0,,,,,,,,,,,,,,,
Brevyn Spann-Ford DAL,,,,,,,,,0.0,0.6,TE,0.5,4.6,0.0,,,,,,,,,,,,,,,
Chris Manhertz NYG,,,,,,,,,0.0,0.5,TE,0.3,2.7,0.0,,,,,,,,,,,,,,,
Mitchell Evans CAR,,,,,,,,,0.0,0.5,TE,0.4,4.3,0.0,,,,,,,,,,,,,,,
Stone Smartt NYJ,,,,,,,,,0.0,0.5,TE,0.4,4.3,0.0,,,,,,,,,,,,,,,
Luke Farrell SF,,,,,,,,,0.0,0.4,TE,0.4,3.8,0.0,,,,,,,,,,,,,,,
Mo Alie-Cox IND,,,,,,,,,0.0,0.4,TE,0.3,3.0,0.0,,,,,,,,,,,,,,,
Teagan Quitoriano ATL,,,,,,,,,0.0,0.4,TE,0.4,3.9,0.0,,,,,,,,,,,,,,,
Travis Vokolek ARI,,,,,,,,,0.0,0.4,TE,0.4,3.6,0.0,,,,,,,,,,,,,,,
Durham Smythe CHI,,,,,,,,,0.0,0.3,TE,0.4,3.0,0.0,,,,,,,,,,,,,,,
Kylen Granson PHI,,,,,,,,,0.0,0.3,TE,0.2,2.9,0.0,,,,,,,,,,,,,,,
Ian Thomas LV,,,,,,,,,0.0,0.3,TE,0.3,2.6,0.0,,,,,,,,,,,,,,,
Feleipe Franks ATL,,,,,,,,,0.0,0.2,TE,0.2,2.3,0.0,,,,,,,,,,,,,,,
Jack Westover NE,,,,,,,,,0.0,0.2,TE,0.3,2.1,0.0,,,,,,,,,,,,,,,
Tanner Hudson CIN,,,,,,,,,0.0,0.2,TE,0.2,1.8,0.0,,,,,,,,,,,,,,,
Davis Allen LAR,,,,,,,,,0.0,0.2,TE,0.1,1.1,0.0,,,,,,,,,,,,,,,
Ko Kieft TB,,,,,,,,,0.0,0.0,TE,0.1,0.2,0.0,,,,,,,,,,,,,,,
Brady Russell SEA,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Darren Waller MIA,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Nick Vannett MIN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Robert Tonyan KC,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Taysom Hill NO,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Albert Okwuegbunam Jr. LV,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Foster Moreau NO,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Tyree Jackson WAS,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Irv Smith Jr. HOU,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Stephen Carlson CHI,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Harrison Bryant HOU,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Josiah Deguara ARI,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Sean McKeon IND,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Kenny Yeboah DET,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Quintin Morris JAC,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Josh Whyle GB,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Luke Lachey HOU,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Thomas Fidone II NYG,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Greg Dulcich MIA,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
James Mitchell CAR,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jack Stoll NO,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Shane Zylstra DET,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Isaiah Likely BAL,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Will Mallory IND,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jelani Woods NYJ,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Justin Shorter LV,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Nikola Kalinic CHI,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
John FitzPatrick GB,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Cameron Latu PHI,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jake Tonges SF,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Tucker Fisk LAC,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Thomas Odukoya TEN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Ben Sims GB,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Brayden Willis SF,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
E.J. Jenkins PHI,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Nate Adkins DEN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Princeton Fant DAL,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
John Stephens Jr. DAL,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Oronde Gadsden II LAC,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Gavin Bartholomew MIN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jared Wiley KC,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Cam Grandy CIN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Brenden Bates CLE,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Devin Culp TB,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Colson Yankoff WAS,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
David Martin-Robinson TEN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
Caleb Lohner DEN,,,,,,,,,0.0,0.0,TE,0.0,0.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,K,,,,Matt Gay WAS,1.8,2.2,3.0,8.5,,,,,,,,,,
,,,,,,,,,,,K,,,,Chris Boswell PIT,2.1,2.0,2.1,8.3,,,,,,,,,,
,,,,,,,,,,,K,,,,Will Reichard MIN,2.0,2.1,2.2,8.2,,,,,,,,,,
,,,,,,,,,,,K,,,,Harrison Butker KC,2.0,2.0,2.3,8.2,,,,,,,,,,
,,,,,,,,,,,K,,,,Cam Little JAC,1.9,2.1,2.5,8.1,,,,,,,,,,
,,,,,,,,,,,K,,,,Jake Elliott PHI,1.6,2.1,3.1,7.9,,,,,,,,,,
,,,,,,,,,,,K,,,,Wil Lutz DEN,1.7,2.2,2.8,7.8,,,,,,,,,,
,,,,,,,,,,,K,,,,Chad Ryland ARI,1.8,2.1,2.4,7.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Cameron Dicker LAC,1.9,2.2,2.1,7.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Brandon McManus GB,1.6,2.1,2.7,7.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Jake Bates DET,1.7,1.8,2.6,7.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Jason Myers SEA,1.8,2.1,2.2,7.6,,,,,,,,,,
,,,,,,,,,,,K,,,,Brandon Aubrey DAL,1.9,2.1,2.0,7.6,,,,,,,,,,
,,,,,,,,,,,K,,,,Riley Patterson MIA,1.7,2.2,2.3,7.5,,,,,,,,,,
,,,,,,,,,,,K,,,,Joshua Karty LAR,1.8,2.0,2.1,7.5,,,,,,,,,,
,,,,,,,,,,,K,,,,Matt Prater BUF,1.6,1.8,2.6,7.5,,,,,,,,,,
,,,,,,,,,,,K,,,,Evan McPherson CIN,1.5,2.0,2.8,7.4,,,,,,,,,,
,,,,,,,,,,,K,,,,Daniel Carlson LV,1.7,2.0,2.0,7.2,,,,,,,,,,
,,,,,,,,,,,K,,,,Tyler Loop BAL,1.4,1.8,2.9,7.1,,,,,,,,,,
,,,,,,,,,,,K,,,,Blake Grupe NO,1.7,2.0,2.0,7.1,,,,,,,,,,
,,,,,,,,,,,K,,,,Younghoe Koo ATL,1.6,2.1,2.4,7.1,,,,,,,,,,
,,,,,,,,,,,K,,,,Spencer Shrader IND,1.6,2.0,2.3,7.1,,,,,,,,,,
,,,,,,,,,,,K,,,,Cairo Santos CHI,1.6,1.9,2.2,6.9,,,,,,,,,,
,,,,,,,,,,,K,,,,Ka'imi Fairbairn HOU,1.6,2.0,2.2,6.9,,,,,,,,,,
,,,,,,,,,,,K,,,,Ryan Fitzgerald CAR,1.6,1.8,2.0,6.8,,,,,,,,,,
,,,,,,,,,,,K,,,,Nick Folk NYJ,1.6,1.8,1.8,6.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Andre Szmyt CLE,1.6,1.8,1.9,6.7,,,,,,,,,,
,,,,,,,,,,,K,,,,Andy Borregales NE,1.4,1.9,2.3,6.6,,,,,,,,,,
,,,,,,,,,,,K,,,,Joey Slye TEN,1.4,1.9,1.8,6.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Graham Gano NYG,1.2,1.8,2.2,5.8,,,,,,,,,,
,,,,,,,,,,,K,,,,Parker Romo ATL,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Harrison Mevis NYJ,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Jude McAtamney NYG,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Eddy Pineiro SF,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Jason Sanders MIA,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,DST,,,,,,,,,Washington Commanders,3.4,0.7,0.6,1.0,0.2,0.0,19.8,329.4,8.0
,,,,,,,,,,,DST,,,,,,,,,Los Angeles Rams,3.4,0.7,0.5,0.8,0.1,0.1,19.8,334.5,7.8
,,,,,,,,,,,DST,,,,,,,,,Pittsburgh Steelers,2.7,0.7,0.7,1.2,0.2,0.0,17.1,296.0,7.6
,,,,,,,,,,,DST,,,,,,,,,Cincinnati Bengals,3.0,1.0,0.6,1.0,0.2,0.0,20.5,339.9,7.2
,,,,,,,,,,,DST,,,,,,,,,Arizona Cardinals,2.6,0.8,0.5,0.8,0.2,0.0,18.7,313.2,7.2
,,,,,,,,,,,DST,,,,,,,,,Philadelphia Eagles,2.7,0.8,0.8,1.5,0.2,0.0,20.6,332.0,7.1
,,,,,,,,,,,DST,,,,,,,,,Chicago Bears,2.9,0.9,0.7,1.1,0.2,0.0,21.7,359.4,7.0
,,,,,,,,,,,DST,,,,,,,,,Minnesota Vikings,3.6,0.6,0.6,0.9,0.1,0.0,20.9,291.7,6.9
,,,,,,,,,,,DST,,,,,,,,,San Francisco 49ers,2.9,1.0,0.5,0.8,0.2,0.0,21.8,321.3,6.8
,,,,,,,,,,,DST,,,,,,,,,New York Giants,3.3,0.6,0.7,1.1,0.1,0.0,27.0,352.7,6.7
,,,,,,,,,,,DST,,,,,,,,,Las Vegas Raiders,3.0,0.8,0.6,0.8,0.1,0.0,23.7,337.0,6.6
,,,,,,,,,,,DST,,,,,,,,,Cleveland Browns,3.1,0.6,0.5,0.9,0.1,0.1,26.2,357.8,6.3
,,,,,,,,,,,DST,,,,,,,,,New England Patriots,2.7,0.8,0.5,0.8,0.2,0.0,20.1,324.5,6.2
,,,,,,,,,,,DST,,,,,,,,,New York Jets,2.8,0.6,0.6,1.0,0.2,0.0,20.8,317.9,6.2
,,,,,,,,,,,DST,,,,,,,,,Tampa Bay Buccaneers,2.3,0.8,0.6,0.9,0.2,0.1,22.3,347.4,6.2
,,,,,,,,,,,DST,,,,,,,,,Green Bay Packers,2.5,0.7,0.6,1.0,0.2,0.0,22.9,358.8,6.1
,,,,,,,,,,,DST,,,,,,,,,Miami Dolphins,2.6,0.7,0.5,0.8,0.2,0.0,23.7,319.1,6.1
,,,,,,,,,,,DST,,,,,,,,,Atlanta Falcons,2.6,0.8,0.5,0.8,0.1,0.0,26.3,365.7,6.1
,,,,,,,,,,,DST,,,,,,,,,Kansas City Chiefs,2.9,0.6,0.5,0.8,0.1,0.0,21.6,320.0,5.9
,,,,,,,,,,,DST,,,,,,,,,Seattle Seahawks,2.4,0.8,0.5,0.9,0.2,0.0,21.3,359.6,5.9
,,,,,,,,,,,DST,,,,,,,,,Indianapolis Colts,2.4,0.7,0.6,1.0,0.2,0.0,23.0,357.3,5.8
,,,,,,,,,,,DST,,,,,,,,,Dallas Cowboys,2.8,0.5,0.5,1.0,0.1,0.0,29.0,367.9,5.8
,,,,,,,,,,,DST,,,,,,,,,Los Angeles Chargers,2.4,0.7,0.5,0.8,0.2,0.0,24.4,349.9,5.8
,,,,,,,,,,,DST,,,,,,,,,Houston Texans,2.5,0.7,0.5,0.8,0.1,0.0,23.3,334.7,5.7
,,,,,,,,,,,DST,,,,,,,,,Jacksonville Jaguars,2.3,0.7,0.5,0.7,0.2,0.0,21.0,320.3,5.7
,,,,,,,,,,,DST,,,,,,,,,Buffalo Bills,2.0,0.5,0.7,1.3,0.2,0.0,25.3,396.3,5.4
,,,,,,,,,,,DST,,,,,,,,,Detroit Lions,1.7,0.7,0.6,0.8,0.2,0.0,24.8,347.4,5.3
,,,,,,,,,,,DST,,,,,,,,,New Orleans Saints,2.0,0.7,0.5,0.7,0.1,0.0,23.8,369.7,5.2
,,,,,,,,,,,DST,,,,,,,,,Carolina Panthers,1.9,0.7,0.5,0.8,0.1,0.0,25.2,358.4,5.1
,,,,,,,,,,,DST,,,,,,,,,Baltimore Ravens,1.8,0.7,0.4,0.7,0.1,0.0,25.6,346.2,4.8
,,,,,,,,,,,DST,,,,,,,,,Tennessee Titans,1.9,0.6,0.5,0.8,0.1,0.0,25.5,340.4,4.8
